sale_id,sale_date,product_name,region_name,channel,quantity,unit_price,customer_age,customer_satisfaction_score,marketing_spend,discount_percent,gross_revenue,discount_amount,net_revenue
SAL-000059,2025-07-26,Tablet,North America,Retail Store,2,271.29,44,4.7,49.12,0.0,542.58,0.0,542.58
SAL-000060,2025-07-01,Tablet,Latin America,Online,1,371.43,38,4.1,123.92,0.0,371.43,0.0,371.43
SAL-000061,2025-07-25,Smart Watch,Middle East & Africa,Retail Store,3,399.23,55,4.6,9.09,0.0,1197.69,0.0,1197.69
SAL-000062,2025-05-31,Laptop,Latin America,Online,2,1793.33,36,4.4,24.2,10.5,3586.66,376.59929999999997,3210.0607
SAL-000063,2025-07-17,Smartphone,Europe,Retail Store,2,717.33,18,3.8,25.21,0.0,1434.66,0.0,1434.66
SAL-000064,2025-05-21,Smartphone,Latin America,Partner Channel,3,446.36,22,,26.99,22.3,1339.08,298.61484,1040.46516
SAL-000065,2025-07-27,Tablet,Europe,Partner Channel,1,215.82,18,4.6,35.04,0.0,215.82,0.0,215.82
SAL-000066,2025-04-10,Smartphone,Europe,Online,2,1054.5,36,3.6,50.01,0.0,2109.0,0.0,2109.0
SAL-000067,2025-04-20,Smart Watch,Middle East & Africa,Retail Store,1,599.87,32,4.3,8.98,0.0,599.87,0.0,599.87
SAL-000068,2025-07-21,Headphones,Asia Pacific,Online,2,383.92,50,4.8,11.09,0.0,767.84,0.0,767.84
SAL-000069,2025-07-22,Tablet,Europe,Partner Channel,3,602.94,52,3.9,8.03,0.0,1808.8200000000002,0.0,1808.8200000000002
SAL-000070,2025-06-10,Tablet,Europe,Online,3,725.99,55,4.3,5.99,7.7,2177.9700000000003,167.70369000000002,2010.2663100000002
SAL-000071,2025-07-29,Camera,Europe,Online,1,960.94,48,3.2,10.7,0.0,960.94,0.0,960.94
SAL-000072,2025-06-16,Laptop,Europe,Retail Store,2,2132.21,18,3.8,9.22,0.0,4264.42,0.0,4264.42
SAL-000073,2024-12-07,Tablet,North America,Retail Store,2,495.57,36,3.4,2.07,0.0,991.14,0.0,991.14
SAL-000074,2025-07-21,Laptop,North America,Retail Store,5,1058.23,31,2.7,34.06,0.0,5291.15,0.0,5291.15
SAL-000075,2025-06-21,Monitor,North America,Online,1,734.05,28,3.2,2.32,0.0,734.05,0.0,734.05
SAL-000076,2025-07-22,Monitor,North America,Online,3,568.62,61,3.3,1.0,0.0,1705.8600000000001,0.0,1705.8600000000001
SAL-000077,2025-04-24,Speaker,North America,Partner Channel,12,351.16,48,3.3,13.79,0.0,4213.92,0.0,4213.92
SAL-000078,2025-07-17,Monitor,Europe,Retail Store,1,367.48,19,4.6,9.31,0.0,367.48,0.0,367.48
SAL-000079,2025-05-08,Monitor,North America,Retail Store,2,229.35,38,4.3,11.39,0.0,458.7,0.0,458.7
SAL-000080,2025-07-23,Camera,Europe,Online,3,1115.86,28,2.2,0.51,11.4,3347.58,381.62412,2965.95588
SAL-000081,2025-07-15,Headphones,North America,Partner Channel,1,164.62,58,4.2,15.57,0.0,164.62,0.0,164.62
SAL-000082,2025-06-18,Laptop,Europe,Retail Store,2,947.76,32,4.8,2.05,0.0,1895.52,0.0,1895.52
SAL-000083,2025-07-09,Laptop,Asia Pacific,Retail Store,13,1417.24,21,,1.61,0.0,18424.12,0.0,18424.12
SAL-000084,2025-07-20,Speaker,North America,Online,10,198.38,28,2.9,56.77,0.0,1983.8,0.0,1983.8
SAL-000085,2025-07-24,Tablet,Europe,Direct Sales,2,514.71,35,,104.67,0.0,1029.42,0.0,1029.42
SAL-000086,2025-03-31,Speaker,North America,Online,2,426.83,44,3.8,20.34,0.0,853.66,0.0,853.66
SAL-000087,2025-06-09,Speaker,Asia Pacific,Online,3,211.99,28,1.9,17.71,9.8,635.97,62.32506000000001,573.64494
SAL-000088,2025-07-22,Monitor,North America,Retail Store,2,688.5,37,2.8,11.41,0.0,1377.0,0.0,1377.0
SAL-000089,2025-07-26,Speaker,North America,Online,2,234.64,30,3.9,28.6,20.2,469.28,94.79455999999999,374.48544
SAL-000090,2025-06-05,Laptop,Europe,Online,9,1601.68,40,3.4,5.0,6.3,14415.12,908.1525600000001,13506.96744
SAL-000091,2025-05-09,Laptop,Latin America,Online,1,1776.6,30,,4.47,8.3,1776.6,147.4578,1629.1422
SAL-000092,2025-04-19,Headphones,Europe,Online,1,282.82,34,4.4,42.4,0.0,282.82,0.0,282.82
SAL-000093,2025-06-25,Camera,Europe,Online,3,1003.11,38,4.6,6.61,0.0,3009.33,0.0,3009.33
SAL-000094,2025-03-14,Headphones,Europe,Direct Sales,5,184.36,27,3.7,84.32,0.0,921.8000000000001,0.0,921.8000000000001
SAL-000095,2025-05-31,Speaker,North America,Partner Channel,3,233.96,45,5.0,22.43,20.8,701.88,145.99104,555.88896
SAL-000096,2025-07-20,Tablet,North America,Retail Store,2,387.03,38,3.1,21.56,0.0,774.06,0.0,774.06
SAL-000097,2025-03-26,Laptop,Latin America,Online,2,1381.54,53,2.9,4.06,0.0,2763.08,0.0,2763.08
SAL-000098,2025-07-14,Laptop,Asia Pacific,Retail Store,11,2027.83,42,5.0,4.35,11.9,22306.129999999997,2654.42947,19651.70053
SAL-000099,2025-07-17,Monitor,Europe,Online,2,926.76,45,3.6,4.16,16.7,1853.52,309.53783999999996,1543.98216
SAL-000100,2025-06-17,Monitor,North America,Partner Channel,3,689.16,39,4.4,11.93,0.0,2067.48,0.0,2067.48
SAL-000101,2025-02-26,Smartphone,North America,Retail Store,2,936.51,21,5.0,20.0,23.7,1873.02,443.90574,1429.11426
SAL-000102,2025-02-24,Speaker,North America,Direct Sales,2,280.34,68,3.9,15.27,0.0,560.68,0.0,560.68
SAL-000103,2025-07-26,Smart Watch,Latin America,Online,3,300.84,25,2.0,19.27,0.0,902.52,0.0,902.52
SAL-000104,2025-02-28,Tablet,North America,Retail Store,3,407.81,19,3.3,9.03,0.0,1223.43,0.0,1223.43
SAL-000105,2025-07-20,Monitor,Europe,Online,2,341.11,35,,21.72,0.0,682.22,0.0,682.22
SAL-000106,2025-05-30,Speaker,Asia Pacific,Online,2,105.24,28,3.2,144.2,0.0,210.48,0.0,210.48
SAL-000107,2025-06-18,Camera,North America,Retail Store,3,1352.62,40,3.7,3.44,0.0,4057.8599999999997,0.0,4057.8599999999997
SAL-000108,2025-07-17,Smart Watch,Europe,Retail Store,1,166.45,54,1.4,8.72,0.0,166.45,0.0,166.45
SAL-000109,2025-06-29,Headphones,North America,Online,3,245.87,21,3.0,25.82,0.0,737.61,0.0,737.61
SAL-000110,2025-06-28,Smart Watch,North America,Retail Store,7,161.42,36,3.5,3.76,9.6,1129.9399999999998,108.47423999999998,1021.4657599999998
SAL-000111,2025-05-24,Headphones,North America,Partner Channel,1,56.9,44,2.7,2.72,0.0,56.9,0.0,56.9
SAL-000112,2025-07-23,Monitor,Asia Pacific,Partner Channel,1,394.54,33,4.4,11.03,0.0,394.54,0.0,394.54
SAL-000113,2025-07-16,Headphones,Latin America,Online,8,152.6,18,4.7,55.8,0.0,1220.8,0.0,1220.8
SAL-000114,2025-04-18,Speaker,North America,Online,3,236.73,19,3.8,24.46,0.0,710.1899999999999,0.0,710.1899999999999
SAL-000115,2025-06-28,Smart Watch,Europe,Online,1,398.42,49,3.6,40.22,13.5,398.42,53.7867,344.6333
SAL-000116,2025-07-28,Tablet,Europe,Retail Store,2,361.21,30,3.2,27.02,0.0,722.42,0.0,722.42
SAL-000117,2024-11-22,Speaker,North America,Online,3,310.28,40,2.8,8.01,16.1,930.8399999999999,149.86524,780.97476
SAL-000118,2025-05-27,Tablet,North America,Online,2,697.85,41,4.4,22.94,0.0,1395.7,0.0,1395.7
SAL-000119,2025-05-25,Smartphone,Latin America,Online,2,457.83,42,1.4,1.2,0.0,915.66,0.0,915.66
SAL-000120,2025-07-19,Tablet,North America,Retail Store,2,642.82,30,2.7,5.11,0.0,1285.64,0.0,1285.64
SAL-000121,2025-07-03,Smart Watch,North America,Retail Store,3,473.57,62,3.6,41.43,0.0,1420.71,0.0,1420.71
SAL-000122,2025-05-11,Smartphone,North America,Online,3,493.45,31,3.4,17.15,16.9,1480.35,250.17914999999996,1230.17085
SAL-000123,2025-07-05,Laptop,North America,Online,2,2110.55,37,5.0,29.15,0.0,4221.1,0.0,4221.1
SAL-000124,2025-06-25,Monitor,Latin America,Partner Channel,3,397.12,24,4.2,8.92,0.0,1191.3600000000001,0.0,1191.3600000000001
SAL-000125,2025-07-03,Monitor,Latin America,Online,3,273.27,37,3.8,5.12,15.8,819.81,129.52998,690.2800199999999
SAL-000126,2025-03-28,Smart Watch,Latin America,Retail Store,1,479.5,48,4.2,4.31,0.0,479.5,0.0,479.5
SAL-000127,2025-06-19,Laptop,Middle East & Africa,Direct Sales,14,1176.06,47,3.6,1.04,0.0,16464.84,0.0,16464.84
SAL-000128,2025-05-19,Headphones,Middle East & Africa,Direct Sales,3,154.07,37,4.0,59.42,0.0,462.21,0.0,462.21
SAL-000129,2025-04-09,Speaker,Latin America,Online,2,227.64,21,3.7,3.21,0.0,455.28,0.0,455.28
SAL-000130,2025-07-25,Camera,North America,Retail Store,1,1514.06,35,3.4,11.63,0.0,1514.06,0.0,1514.06
SAL-000131,2025-04-27,Speaker,Asia Pacific,Partner Channel,12,227.5,21,4.0,0.25,22.4,2730.0,611.52,2118.48
SAL-000132,2025-07-28,Smartphone,Europe,Direct Sales,84,1087.23,52,3.3,15.42,0.0,10872.3,0.0,10872.3
SAL-000133,2025-06-20,Monitor,Latin America,Direct Sales,1,702.0,32,5.0,16.41,0.0,702.0,0.0,702.0
SAL-000134,2025-05-10,Monitor,North America,Online,1,391.02,25,2.5,6.65,5.8,391.02,22.679159999999996,368.34083999999996
SAL-000135,2025-07-28,Monitor,Europe,Online,3,990.18,25,4.1,74.87,0.0,2970.54,0.0,2970.54
SAL-000136,2025-04-28,Laptop,Europe,Partner Channel,1,952.0,37,4.0,9.5,8.3,952.0,79.016,872.984
SAL-000137,2024-10-19,Smartphone,Middle East & Africa,Retail Store,1,508.5,41,5.0,3.93,0.0,508.5,0.0,508.5
SAL-000138,2025-07-18,Smart Watch,North America,Partner Channel,2,249.22,32,3.4,34.77,0.0,498.44,0.0,498.44
SAL-000139,2025-03-22,Speaker,Middle East & Africa,Online,3,471.1,55,3.1,29.77,0.0,1413.3000000000002,0.0,1413.3000000000002
SAL-000140,2025-07-19,Smart Watch,North America,Online,2,517.12,66,4.4,21.69,0.0,1034.24,0.0,1034.24
SAL-000141,2025-07-24,Laptop,North America,Online,2,2291.68,41,3.9,26.62,0.0,4583.36,0.0,4583.36
SAL-000142,2025-06-11,Headphones,Europe,Online,2,80.45,48,2.5,17.12,0.0,160.9,0.0,160.9
SAL-000143,2025-07-24,Monitor,Asia Pacific,Online,7,376.15,37,4.3,16.38,0.0,2633.0499999999997,0.0,2633.0499999999997
SAL-000144,2025-06-06,Speaker,North America,Retail Store,3,429.87,18,4.2,31.63,0.0,1289.6100000000001,0.0,1289.6100000000001
SAL-000145,2025-04-25,Headphones,Latin America,Partner Channel,1,280.46,47,4.2,11.96,18.6,280.46,52.165560000000006,228.29443999999998
SAL-000146,2025-06-02,Smartphone,North America,Partner Channel,11,977.44,35,3.9,4.08,19.9,10751.84,2139.61616,8612.22384
SAL-000147,2025-07-19,Headphones,Latin America,Retail Store,3,336.29,40,3.8,14.99,0.0,1008.8700000000001,0.0,1008.8700000000001
SAL-000148,2025-07-11,Smart Watch,Europe,Partner Channel,3,435.3,41,3.5,7.79,0.0,1305.9,0.0,1305.9
SAL-000149,2025-01-13,Speaker,Asia Pacific,Direct Sales,14,236.75,32,3.7,10.74,0.0,3314.5,0.0,3314.5
SAL-000150,2025-05-17,Laptop,Europe,Online,1,914.5,32,3.4,51.3,0.0,914.5,0.0,914.5
SAL-000151,2024-12-24,Smartphone,Asia Pacific,Online,1,1171.99,56,3.5,28.74,0.0,1171.99,0.0,1171.99
SAL-000152,2025-06-24,Headphones,Middle East & Africa,Online,1,145.77,23,3.2,39.6,18.9,145.77,27.55053,118.21947000000002
SAL-000153,2025-07-15,Camera,Asia Pacific,Retail Store,1,531.81,35,2.6,43.13,0.0,531.81,0.0,531.81
SAL-000154,2025-06-27,Headphones,Europe,Online,3,273.48,37,3.8,56.13,0.0,820.44,0.0,820.44
SAL-000155,2025-07-14,Headphones,North America,Retail Store,79,124.59,49,3.2,9.61,24.4,373.77,91.19988,282.57012
SAL-000156,2025-07-17,Smart Watch,Asia Pacific,Partner Channel,1,540.88,43,4.3,9.84,7.6,540.88,41.10688,499.77312
SAL-000157,2025-07-28,Smart Watch,Asia Pacific,Partner Channel,2,564.38,25,3.8,1.34,0.0,1128.76,0.0,1128.76
SAL-000158,2025-05-21,Speaker,North America,Retail Store,5,272.12,39,3.0,4.7,21.0,1360.6,285.72599999999994,1074.874
SAL-000159,2025-07-07,Smart Watch,North America,Online,3,354.85,32,,22.91,0.0,1064.5500000000002,0.0,1064.5500000000002
SAL-000160,2025-07-09,Laptop,Latin America,Partner Channel,15,1981.47,37,3.3,1.11,0.0,29722.05,0.0,29722.05
SAL-000161,2025-07-13,Tablet,North America,Retail Store,2,792.0,56,4.5,12.3,5.2,1584.0,82.36800000000001,1501.632
SAL-000162,2025-07-06,Headphones,North America,Online,3,231.2,25,3.4,20.96,0.0,693.5999999999999,0.0,693.5999999999999
SAL-000163,2025-05-20,Camera,North America,Online,1,1680.94,41,3.0,30.64,0.0,1680.94,0.0,1680.94
SAL-000164,2025-07-28,Tablet,North America,Retail Store,3,761.73,46,4.1,18.78,0.0,2285.19,0.0,2285.19
SAL-000165,2025-04-23,Smart Watch,Latin America,Online,8,302.75,39,4.1,42.5,0.0,2422.0,0.0,2422.0
SAL-000166,2025-06-23,Smart Watch,Europe,Retail Store,2,439.61,30,3.4,30.81,0.0,879.22,0.0,879.22
SAL-000167,2025-07-15,Tablet,North America,Online,15,785.52,45,4.5,17.24,0.0,11782.8,0.0,11782.8
SAL-000168,2025-06-11,Camera,North America,Direct Sales,2,1550.72,38,3.9,6.68,18.6,3101.44,576.8678400000001,2524.5721599999997
SAL-000169,2025-07-25,Smart Watch,North America,Retail Store,3,163.79,42,4.0,20.36,0.0,491.37,0.0,491.37
SAL-000170,2025-06-26,Laptop,Europe,Direct Sales,3,1388.09,19,5.0,38.76,0.0,4164.2699999999995,0.0,4164.2699999999995
SAL-000171,2025-06-19,Monitor,Latin America,Online,8,898.74,45,2.3,60.86,0.0,7189.92,0.0,7189.92
SAL-000172,2025-07-15,Laptop,Asia Pacific,Retail Store,2,1859.04,42,3.3,35.96,8.6,3718.08,319.75487999999996,3398.32512
SAL-000173,2025-07-13,Speaker,North America,Partner Channel,3,488.56,18,3.8,20.46,0.0,1465.68,0.0,1465.68
SAL-000174,2025-06-24,Headphones,Europe,Retail Store,14,230.19,33,2.9,52.31,10.2,3222.66,328.71131999999994,2893.94868
SAL-000175,2025-05-26,Smart Watch,Asia Pacific,Online,2,296.34,37,3.7,6.73,6.5,592.68,38.5242,554.1558
SAL-000176,2025-07-18,Camera,North America,Partner Channel,3,1231.64,19,3.5,9.6,0.0,3694.92,0.0,3694.92
SAL-000177,2025-05-17,Laptop,North America,Online,1,1083.97,48,4.3,16.09,0.0,1083.97,0.0,1083.97
SAL-000178,2025-04-09,Smartphone,Europe,Partner Channel,3,1025.1,34,3.6,3.14,0.0,3075.2999999999997,0.0,3075.2999999999997
SAL-000179,2025-07-26,Camera,Middle East & Africa,Online,1,1249.87,36,2.8,67.91,0.0,1249.87,0.0,1249.87
SAL-000180,2025-07-07,Tablet,North America,Online,1,504.34,48,3.9,15.16,0.0,504.34,0.0,504.34
SAL-000181,2025-06-16,Laptop,Asia Pacific,Online,1,1631.04,26,3.8,27.98,0.0,1631.04,0.0,1631.04
SAL-000182,2024-12-31,Smartphone,Asia Pacific,Online,1,384.51,35,3.5,29.49,21.8,384.51,83.82318,300.68682
SAL-000183,2025-02-06,Camera,Europe,Retail Store,2,1493.2,40,4.6,0.46,23.6,2986.4,704.7904000000001,2281.6096
SAL-000184,2025-05-20,Smartphone,North America,Retail Store,2,908.86,57,2.9,1.69,0.0,1817.72,0.0,1817.72
SAL-000185,2025-05-26,Laptop,North America,Direct Sales,3,2499.0,50,3.6,45.75,0.0,7497.0,0.0,7497.0
SAL-000186,2025-06-09,Laptop,Latin America,Online,10,2055.36,52,2.6,41.24,0.0,20553.600000000002,0.0,20553.600000000002
SAL-000187,2025-05-04,Monitor,Europe,Partner Channel,1,838.25,39,3.0,0.06,0.0,838.25,0.0,838.25
SAL-000188,2025-07-06,Camera,Europe,Retail Store,3,986.34,26,1.8,4.07,0.0,2959.02,0.0,2959.02
SAL-000189,2025-07-01,Smartphone,North America,Retail Store,1,504.54,51,4.7,9.34,0.0,504.54,0.0,504.54
SAL-000190,2025-07-01,Tablet,Europe,Retail Store,1,718.0,21,2.5,13.02,0.0,718.0,0.0,718.0
SAL-000191,2025-06-14,Smartphone,Asia Pacific,Partner Channel,2,847.11,34,4.1,26.18,0.0,1694.22,0.0,1694.22
SAL-000192,2025-07-26,Monitor,Europe,Online,1,947.55,18,3.5,8.38,11.1,947.55,105.17805,842.37195
SAL-000193,2025-04-23,Headphones,North America,Retail Store,3,238.71,26,4.6,8.0,0.0,716.13,0.0,716.13
SAL-000194,2025-07-22,Speaker,Asia Pacific,Online,3,172.46,60,3.5,2.83,0.0,517.38,0.0,517.38
SAL-000195,2025-06-09,Laptop,Middle East & Africa,Retail Store,13,1236.16,40,4.6,0.67,0.0,16070.080000000002,0.0,16070.080000000002
SAL-000196,2025-05-30,Headphones,Asia Pacific,Partner Channel,1,382.99,34,4.1,2.38,0.0,382.99,0.0,382.99
SAL-000197,2025-06-03,Smartphone,Latin America,Direct Sales,3,669.93,23,2.9,45.5,10.5,2009.79,211.02794999999998,1798.76205
SAL-000198,2025-04-17,Laptop,Asia Pacific,Online,3,1520.36,27,5.0,22.08,0.0,4561.08,0.0,4561.08
SAL-000199,2025-07-18,Smart Watch,Latin America,Online,9,481.59,52,4.9,19.78,9.6,4334.3099999999995,416.09376,3918.2162399999997
SAL-000200,2025-06-30,Speaker,Europe,Direct Sales,3,337.79,42,,15.54,0.0,1013.3700000000001,0.0,1013.3700000000001
SAL-000201,2025-06-26,Tablet,Asia Pacific,Direct Sales,2,630.56,44,5.0,9.61,0.0,1261.12,0.0,1261.12
SAL-000202,2025-07-25,Smartphone,Latin America,Online,6,377.09,24,2.7,10.96,6.4,2262.54,144.80256,2117.73744
SAL-000203,2025-06-16,Smart Watch,Latin America,Online,2,180.43,50,3.4,26.31,0.0,360.86,0.0,360.86
SAL-000204,2025-06-14,Smartphone,North America,Retail Store,1,591.9,58,3.8,9.39,6.2,591.9,36.6978,555.2022
SAL-000205,2025-06-10,Smart Watch,North America,Retail Store,2,580.93,40,2.7,1.53,0.0,1161.86,0.0,1161.86
SAL-000206,2025-06-24,Tablet,North America,Retail Store,2,653.7,31,2.7,2.48,24.8,1307.4,324.2352,983.1648
SAL-000207,2025-02-22,Speaker,Latin America,Retail Store,2,315.98,29,4.0,21.11,0.0,631.96,0.0,631.96
SAL-000208,2025-07-21,Camera,Asia Pacific,Retail Store,3,1721.71,28,,1.38,23.7,5165.13,1224.13581,3940.9941900000003
SAL-000209,2025-06-11,Camera,Europe,Online,3,888.84,42,5.0,62.95,0.0,2666.52,0.0,2666.52
SAL-000210,2025-06-18,Speaker,Latin America,Online,2,496.86,32,4.5,52.59,22.4,993.72,222.59328,771.12672
SAL-000211,2025-04-22,Camera,North America,Online,1,1664.05,23,3.3,29.68,11.9,1664.05,198.02195,1466.02805
SAL-000212,2024-12-19,Speaker,Latin America,Online,15,356.39,67,3.4,36.18,0.0,5345.849999999999,0.0,5345.849999999999
SAL-000213,2025-07-18,Smartphone,Europe,Online,1,752.31,30,3.5,0.65,0.0,752.31,0.0,752.31
SAL-000214,2025-07-21,Headphones,Europe,Direct Sales,1,387.09,18,3.3,21.17,13.8,387.09,53.41842,333.67157999999995
SAL-000215,2025-07-23,Smartphone,North America,Retail Store,3,876.74,26,4.1,0.95,0.0,2630.2200000000003,0.0,2630.2200000000003
